brand,model,price,price_in_lakh_avg,price_range
Ashok Leyland,Stile,Rs.9.56 Lakh,9.56,0-50 Lakhs
Aston Martin,Db12,Rs.4.59 Cr,459.0,200-500 Lakhs
Aston Martin,Dbx,Rs.3.82 - 4.63 Cr,422.49999999999994,200-500 Lakhs
Aston Martin,Vantage,Rs.3.99 Cr,399.0,200-500 Lakhs
Audi,Q5,Rs.65.51 - 70.80 Lakh,68.155,50-100 Lakhs
Audi,Q3,Rs.44.25 - 54.65 Lakh,49.45,0-50 Lakhs
Audi,Q7,Rs.88.66 - 97.84 Lakh,93.25,50-100 Lakhs
Audi,A4,Rs.46.02 - 54.58 Lakh,50.3,50-100 Lakhs
Audi,Rs5,Rs.1.13 Cr,112.99999999999999,100-200 Lakhs
Audi,A6,Rs.64.41 - 70.79 Lakh,67.6,50-100 Lakhs
Audi,Q8,Rs.1.16 - 1.43 Cr,129.5,100-200 Lakhs
Audi,E-Tron Gt,Rs.1.72 Cr,172.0,100-200 Lakhs
Audi,E-Tron,Rs.1.02 - 1.26 Cr,114.00000000000001,100-200 Lakhs
Audi,Rs E-Tron Gt,Rs.1.95 Cr,195.0,100-200 Lakhs
Audi,A8 L,Rs.1.34 - 1.63 Cr,148.5,100-200 Lakhs
Audi,Q3 Sportback,Rs.54.76 - 55.71 Lakh,55.235,50-100 Lakhs
Audi,Q8 E-Tron,Rs.1.15 - 1.27 Cr,121.0,100-200 Lakhs
Audi,Q8 Sportback E-Tron,Rs.1.19 - 1.32 Cr,125.49999999999999,100-200 Lakhs
Audi,Rs Q8,Rs.2.22 Cr,222.00000000000003,200-500 Lakhs
Audi,S5 Sportback,Rs.77.32 Lakh,77.32,50-100 Lakhs
Austin,A40,Rs.15 Lakh,15.0,0-50 Lakhs
Bentley,Continental,Rs.5.23 - 8.45 Cr,684.0,500-1000 Lakhs
Bentley,Flying Spur,Rs.5.25 - 7.60 Cr,642.5,500-1000 Lakhs
Bentley,Bentayga,Rs.5 - 6.75 Cr,587.5,500-1000 Lakhs
Bmw,X1,Rs.49.50 - 52.50 Lakh,51.0,50-100 Lakhs
Bmw,X7,Rs.1.27 - 1.30 Cr,128.5,100-200 Lakhs
Bmw,X5,Rs.96 Lakh - 1.09 Cr,4854.5,1000+ Lakhs
Bmw,I7,Rs.2.03 - 2.50 Cr,226.49999999999997,200-500 Lakhs
Bmw,Xm,Rs.2.60 Cr,260.0,200-500 Lakhs
Bmw,Z4,Rs.90.90 Lakh,90.9,50-100 Lakhs
Bmw,X3,Rs.68.50 - 87.70 Lakh,78.1,50-100 Lakhs
Bmw,3 Series,Rs.72.90 Lakh,72.9,50-100 Lakhs
Bmw,7 Series,Rs.1.81 - 1.84 Cr,182.50000000000003,100-200 Lakhs
Bmw,2 Series,Rs.43.90 - 46.90 Lakh,45.4,0-50 Lakhs
Bmw,Ix,Rs.1.40 Cr,140.0,100-200 Lakhs
Bmw,M2,Rs.99.90 Lakh,99.9,50-100 Lakhs
Bmw,X4,Rs.96.20 Lakh,96.2,50-100 Lakhs
Bmw,6 Series,Rs.73.50 - 78.90 Lakh,76.2,50-100 Lakhs
Bmw,M4 Competition,Rs.1.53 Cr,153.0,100-200 Lakhs
Bmw,I5,Rs.1.20 Cr,120.0,100-200 Lakhs
Bmw,3 Series Gran Limousine,Rs.60.60 - 62.60 Lakh,61.6,50-100 Lakhs
Bmw,Ix1,Rs.66.90 Lakh,66.9,50-100 Lakhs
Bmw,I4,Rs.72.50 - 77.50 Lakh,75.0,50-100 Lakhs
Bmw,M8 Coupe Competition,Rs.2.44 Cr,244.0,200-500 Lakhs
Bugatti,Divo,Rs.41 Cr,4100.0,1000+ Lakhs
Bugatti,Veyron,Rs.12 Cr,1200.0,1000+ Lakhs
Byd,Seal,Rs.41 - 53 Lakh,47.0,0-50 Lakhs
Byd,Atto 3,Rs.33.99 - 34.49 Lakh,34.24,0-50 Lakhs
Byd,E6,Rs.29.15 Lakh,29.15,0-50 Lakhs
Cadillac,Cts,Rs.45 Lakh,45.0,0-50 Lakhs
Cadillac,Escalade,Rs.1.20 Cr,120.0,100-200 Lakhs
Cadillac,Sts,Rs.45 Lakh,45.0,0-50 Lakhs
Chevrolet,Aveo,Rs.7.43 Lakh,7.43,0-50 Lakhs
Chevrolet,Aveo U-Va,Rs.4.98 Lakh,4.98,0-50 Lakhs
Chevrolet,Beat 2009-2013,Rs.6.01 Lakh,6.01,0-50 Lakhs
Chevrolet,Beat 2014-2016,Rs.6.38 Lakh,6.38,0-50 Lakhs
Chevrolet,Beat,Rs.6.50 Lakh,6.5,0-50 Lakhs
Chevrolet,Captiva,Rs.27.36 Lakh,27.36,0-50 Lakhs
Chevrolet,Captiva 2008-2012,Rs.20.59 Lakh,20.59,0-50 Lakhs
Chevrolet,Captiva 2012-2014,Rs.27.36 Lakh,27.36,0-50 Lakhs
Chevrolet,Corvette,Rs.50 Lakh,50.0,0-50 Lakhs
Chevrolet,Cruze 2010-2011,Rs.15.05 Lakh,15.05,0-50 Lakhs
Chevrolet,Cruze 2012-2014,Rs.16 Lakh,16.0,0-50 Lakhs
Chevrolet,Cruze 2014-2016,Rs.17.81 Lakh,17.81,0-50 Lakhs
Chevrolet,Cruze,Rs.17.46 Lakh,17.46,0-50 Lakhs
Chevrolet,Enjoy,Rs.9.18 Lakh,9.18,0-50 Lakhs
Chevrolet,Enjoy 2013-2015,Rs.8.63 Lakh,8.63,0-50 Lakhs
Chevrolet,Forester,Rs.10 Lakh,10.0,0-50 Lakhs
Chevrolet,Optra,Rs.11.84 Lakh,11.84,0-50 Lakhs
Chevrolet,Optra Magnum,Rs.9.56 Lakh,9.56,0-50 Lakhs
Chevrolet,Optra Srv,Rs.7.50 Lakh,7.5,0-50 Lakhs
Chevrolet,Sail,Rs.8.44 Lakh,8.44,0-50 Lakhs
Chevrolet,Sail Hatchback,Rs.7.46 Lakh,7.46,0-50 Lakhs
Chevrolet,Sail Hatchback 2012-2013,Rs.6.62 Lakh,6.62,0-50 Lakhs
Chevrolet,Silverado,Rs.8.17 Lakh,8.17,0-50 Lakhs
Chevrolet,Spark,Rs.4.22 Lakh,4.22,0-50 Lakhs
Chevrolet,Spark 2007-2012,Rs.4.31 Lakh,4.31,0-50 Lakhs
Chevrolet,Tavera 2003-2007,Rs.7.57 Lakh,7.57,0-50 Lakhs
Chevrolet,Tavera 2012-2017,Rs.11.50 Lakh,11.5,0-50 Lakhs
Chevrolet,Tavera,Rs.11.58 Lakh,11.58,0-50 Lakhs
Chevrolet,Tavera Neo,Rs.10.12 Lakh,10.12,0-50 Lakhs
Chevrolet,Trailblazer,Rs.26.99 Lakh,26.99,0-50 Lakhs
Chrysler,300,Rs.80 Lakh,80.0,50-100 Lakhs
Chrysler,Avenger,Rs.30 Lakh,30.0,0-50 Lakhs
Citroen,C3,Rs.6.16 - 9 Lakh,7.58,0-50 Lakhs
Citroen,C3 Aircross,Rs.9.99 - 14.11 Lakh,12.05,0-50 Lakhs
Citroen,Ec3,Rs.11.61 - 13.41 Lakh,12.51,0-50 Lakhs
Citroen,C5 Aircross,Rs.36.91 - 37.67 Lakh,37.29,0-50 Lakhs
Datsun,Go,Rs.6.51 Lakh,6.51,0-50 Lakhs
Datsun,Go Plus,Rs.7 Lakh,7.0,0-50 Lakhs
Datsun,Redi-Go 2016-2020,Rs.4.37 Lakh,4.37,0-50 Lakhs
Datsun,Redi-Go,Rs.4.96 Lakh,4.96,0-50 Lakhs
Dc,Avanti,Rs.60 Lakh,60.0,50-100 Lakhs
Dodge,Nitro,Rs.50 Lakh,50.0,0-50 Lakhs
Ferrari,Roma,Rs.3.76 Cr,376.0,200-500 Lakhs
Ferrari,296 Gtb,Rs.5.40 Cr,540.0,500-1000 Lakhs
Ferrari,Sf90 Stradale,Rs.7.50 Cr,750.0,500-1000 Lakhs
Ferrari,812,Rs.5.75 Cr,575.0,500-1000 Lakhs
Ferrari,F8 Tributo,Rs.4.02 Cr,401.99999999999994,200-500 Lakhs
Fiat,1100,Rs.10 Lakh,10.0,0-50 Lakhs
Fiat,500,Rs.29.85 Lakh,29.85,0-50 Lakhs
Fiat,Abarth,Rs.29.85 Lakh,29.85,0-50 Lakhs
Fiat,Abarth Avventura,Rs.9.89 Lakh,9.89,0-50 Lakhs
Fiat,Adventure,Rs.3.59 Lakh,3.59,0-50 Lakhs
Fiat,Avventura,Rs.8.84 Lakh,8.84,0-50 Lakhs
Fiat,Avventura Urban Cross,Rs.9.78 Lakh,9.78,0-50 Lakhs
Fiat,Ducato,Rs.16 Lakh,16.0,0-50 Lakhs
Fiat,Grande Punto 2009-2014,Rs.7.24 Lakh,7.24,0-50 Lakhs
Fiat,Grande Punto,Rs.7.92 Lakh,7.92,0-50 Lakhs
Fiat,Linea,Rs.10.63 Lakh,10.63,0-50 Lakhs
Fiat,Linea 2008-2012,Rs.9.76 Lakh,9.76,0-50 Lakhs
Fiat,Linea 2012-2014,Rs.9.76 Lakh,9.76,0-50 Lakhs
Fiat,Linea Classic,Rs.8.25 Lakh,8.25,0-50 Lakhs
Fiat,Millicento,Rs.10 Lakh,10.0,0-50 Lakhs
Fiat,Palio,Rs.3.59 Lakh,3.59,0-50 Lakhs
Fiat,Palio D,Rs.3.59 Lakh,3.59,0-50 Lakhs
Fiat,Palio Nv,Rs.3.59 Lakh,3.59,0-50 Lakhs
Fiat,Palio Stile,Rs.5.78 Lakh,5.78,0-50 Lakhs
Fiat,Petra,Rs.5.09 Lakh,5.09,0-50 Lakhs
Fiat,Petra D,Rs.5.09 Lakh,5.09,0-50 Lakhs
Fiat,Premier Padmini,Rs.1.20 Lakh,1.2,0-50 Lakhs
Fiat,Punto,Rs.6.87 Lakh,6.87,0-50 Lakhs
Fiat,Abarth Punto,Rs.9.67 Lakh,9.67,0-50 Lakhs
Fiat,Punto Evo,Rs.7.48 Lakh,7.48,0-50 Lakhs
Fiat,Punto Pure,Rs.5.63 Lakh,5.63,0-50 Lakhs
Fiat,Siena,Rs.5.25 Lakh,5.25,0-50 Lakhs
Fiat,Uno,Rs.5.66 Lakh,5.66,0-50 Lakhs
Ford,Aspire,Rs.9.10 Lakh,9.1,0-50 Lakhs
Ford,Aspire 2018,Rs.6 Lakh,6.0,0-50 Lakhs
Ford,Ecosport 2013-2015,Rs.10.20 Lakh,10.2,0-50 Lakhs
Ford,Ecosport 2015-2021,Rs.11.49 Lakh,11.49,0-50 Lakhs
Ford,Ecosport,Rs.11.69 Lakh,11.69,0-50 Lakhs
Ford,Endeavour 2003-2007,Rs.22.05 Lakh,22.05,0-50 Lakhs
Ford,Endeavour 2007-2009,Rs.22.05 Lakh,22.05,0-50 Lakhs
Ford,Endeavour 2009-2014,Rs.22.05 Lakh,22.05,0-50 Lakhs
Ford,Endeavour 2014-2015,Rs.25.67 Lakh,25.67,0-50 Lakhs
Ford,Endeavour 2015-2020,Rs.34.70 Lakh,34.7,0-50 Lakhs
Ford,Endeavour 2020-2022,Rs.36.27 Lakh,36.27,0-50 Lakhs
Ford,Escort,Rs.9 Lakh,9.0,0-50 Lakhs
Ford,Falcon,Rs.2 Lakh,2.0,0-50 Lakhs
Ford,Fiesta,Rs.10.19 Lakh,10.19,0-50 Lakhs
Ford,Fiesta 2004-2008,Rs.8.52 Lakh,8.52,0-50 Lakhs
Ford,Fiesta 2008-2011,Rs.8.52 Lakh,8.52,0-50 Lakhs
Ford,Fiesta 2011-2013,Rs.9.99 Lakh,9.99,0-50 Lakhs
Ford,Fiesta Classic,Rs.7.68 Lakh,7.68,0-50 Lakhs
Ford,Fiesta Classic 2011-2012,Rs.8.48 Lakh,8.48,0-50 Lakhs
Ford,Figo 2010 2012,Rs.5.94 Lakh,5.94,0-50 Lakhs
Ford,Figo 2012-2015,Rs.6.36 Lakh,6.36,0-50 Lakhs
Ford,Figo 2015-2019,Rs.8.49 Lakh,8.49,0-50 Lakhs
Ford,Figo,Rs.8.37 Lakh,8.37,0-50 Lakhs
Ford,Freestyle,Rs.9.03 Lakh,9.03,0-50 Lakhs
Ford,Fusion,Rs.6.83 Lakh,6.83,0-50 Lakhs
Ford,Ikon,Rs.5.76 Lakh,5.76,0-50 Lakhs
Ford,Mondeo 2001-2006,Rs.15 Lakh,15.0,0-50 Lakhs
Ford,Mustang 2016-2020,Rs.74.62 Lakh,74.62,50-100 Lakhs
Hindustan Motors,Ambassador,Rs.6.09 Lakh,6.09,0-50 Lakhs
Hindustan Motors,Contessa,Rs.5.42 Lakh,5.42,0-50 Lakhs
Honda,City,Rs.11.82 - 16.30 Lakh,14.06,0-50 Lakhs
Honda,Amaze,Rs.7.20 - 9.96 Lakh,8.58,0-50 Lakhs
Honda,City Hybrid,Rs.19 - 20.50 Lakh,19.75,0-50 Lakhs
Honda,Elevate,Rs.11.69 - 16.51 Lakh,14.100000000000001,0-50 Lakhs
Hummer,H2,Rs.75 Lakh,75.0,50-100 Lakhs
Hummer,H3,Rs.80 Lakh,80.0,50-100 Lakhs
Hyundai,Creta,Rs.11 - 20.15 Lakh,15.575,0-50 Lakhs
Hyundai,Venue,Rs.7.94 - 13.48 Lakh,10.71,0-50 Lakhs
Hyundai,Verna,Rs.11 - 17.42 Lakh,14.21,0-50 Lakhs
Hyundai,Exter,Rs.6.13 - 10.28 Lakh,8.205,0-50 Lakhs
Hyundai,I20,Rs.7.04 - 11.21 Lakh,9.125,0-50 Lakhs
Hyundai,Aura,Rs.6.49 - 9.05 Lakh,7.7700000000000005,0-50 Lakhs
Hyundai,Alcazar,Rs.16.77 - 21.28 Lakh,19.025,0-50 Lakhs
Hyundai,Tucson,Rs.29.02 - 35.94 Lakh,32.48,0-50 Lakhs
Hyundai,Kona Electric,Rs.23.84 - 24.03 Lakh,23.935000000000002,0-50 Lakhs
Hyundai,Creta N Line,Rs.16.82 - 20.45 Lakh,18.634999999999998,0-50 Lakhs
Hyundai,Venue N Line,Rs.12.08 - 13.90 Lakh,12.99,0-50 Lakhs
Hyundai,Grand I10 Nios,Rs.5.92 - 8.56 Lakh,7.24,0-50 Lakhs
Hyundai,I20 N-Line,Rs.9.99 - 12.52 Lakh,11.254999999999999,0-50 Lakhs
Hyundai,Ioniq 5,Rs.46.05 Lakh,46.05,0-50 Lakhs
Icml,Extreme,Rs.9.79 Lakh,9.79,0-50 Lakhs
Icml,Rhino Rx,Rs.8.79 Lakh,8.79,0-50 Lakhs
Isuzu,D-Max,Rs.10.55 - 11.40 Lakh,10.975000000000001,0-50 Lakhs
Isuzu,Mu-X,Rs.37 - 40.40 Lakh,38.7,0-50 Lakhs
Isuzu,V-Cross,Rs.25.52 - 30.96 Lakh,28.240000000000002,0-50 Lakhs
Isuzu,S-Cab,Rs.12.55 - 13 Lakh,12.775,0-50 Lakhs
Isuzu,S-Cab Z,Rs.15 Lakh,15.0,0-50 Lakhs
Isuzu,Hi-Lander,Rs.21.20 Lakh,21.2,0-50 Lakhs
Jaguar,F-Pace,Rs.72.90 Lakh,72.9,50-100 Lakhs
Jaguar,F-Type,Rs.1 - 1.56 Cr,128.0,100-200 Lakhs
Jaguar,I-Pace,Rs.1.26 Cr,126.0,100-200 Lakhs
